symbol,as_of,weight,debt_ratio,cash_ratio,receivables_ratio,near,gap_to_limit
CRWD,2024-06-30,0.0016391328018814304,0.06185891748610219,0.28948207828246403,0.3605562577397811,cash,0.01051792171753596
CSX,2024-07-31,0.004801107759632731,0.28377327827752746,0.022670288044869508,0.04466173041708624,debt,0.016226721722472526
CRWD,2024-07-31,0.0009869938988895932,0.05989555674984806,0.28029411041224184,0.3491124428716006,cash,0.019705889587758152
FISV,2024-08-31,0.00718155546713307,0.2967906473871009,0.015457043838310819,0.06144303306491327,debt,0.0032093526128990635
CSX,2024-08-31,0.004481164204542608,0.2836253537835916,0.022658470544269126,0.044638449282546906,debt,0.016374646216408384
FISV,2024-09-30,0.007175308051355301,0.289934323427709,0.015099962168308747,0.06002360376870902,debt,0.010065676572291016
CSX,2024-09-30,0.004384422427200623,0.2821321094951394,0.02253917714798443,0.044403434645994395,debt,0.017867890504860595
ANET,2024-09-30,0.0019429706973665437,0.0,0.2977899515873869,0.35877502143151496,cash,0.002210048412613075
FISV,2024-10-31,0.008208332536814762,0.2805983283299061,0.014613737663690932,0.05809082097875814,debt,0.01940167167009388
ANET,2024-10-31,0.002031498635565484,0.0,0.28094385082549905,0.33847897003802063,cash,0.019056149174500936
APH,2024-10-31,0.0013515361816109203,0.2932909654059841,0.1122637725698049,0.2893216343315066,debt,0.006709034594015895
APH,2024-11-30,0.0013893230044788312,0.28571581710305294,0.10936421265637343,0.28184900630740833,debt,0.01428418289694705
MMM,2024-12-31,0.0042192656597700206,0.297252722780678,0.11133768961775815,0.19939197294848596,debt,0.0027472772193219974
URI,2024-12-31,0.0028029214961310667,0.2998670757001492,0.009450577225139275,0.06750784227213812,debt,0.00013292429985078957
NOW,2024-12-31,0.002567450113205009,0.0,0.2883986587332303,0.36106940986947494,cash,0.011601341266769705
YUM,2024-12-31,0.0022616018410954123,0.29981832158101634,0.013558291878597454,0.013558291878597454,debt,0.000181678418983644
