symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
AMT,2020-09-25,0.013320849002611705,201.95458984375,1.14,,,,False
DHR,2020-09-25,0.015368099306101776,178.76583862304688,0.159574,0.007760550719944615,0.0012383821205844418,1.0646094105358346e-07,True
ITW,2020-09-29,0.007626594400021448,169.23971557617188,1.14,0.0020554256148557657,0.0023431852009355727,1.0559296363048516e-07,True
MPWR,2020-09-29,0.0014065126947179153,265.4528503417969,0.5,,,,False
ZBH,2020-09-29,0.003412932957194855,123.46002960205078,0.23301,,,,False
CSCO,2020-10-01,0.020602649726869565,32.99818420410156,0.36,0.01866087908967364,0.00671791647228251,4.194378669951188e-06,True
A,2020-10-05,0.003962498143977254,99.0801773071289,0.18,0.006972690296339338,0.0012550842533410808,5.019438963035928e-08,True
ORCL,2020-10-07,0.02260303479482037,55.97513961791992,0.24,0.01348930070646053,0.003237432169550527,1.3072909236798904e-06,True
INTU,2020-10-08,0.010540130739004809,321.6248779296875,0.59,,,,False
NTAP,2020-10-08,0.0011852045300172014,40.467288970947266,0.48,0.008869179600886918,0.004257206208425721,1.2468490506161546e-07,True
ACN,2020-10-09,0.01813919851109406,208.56454467773438,0.88,0.002024944433083938,0.0017819511011138655,1.5497919270080884e-07,True
ABT,2020-10-14,0.0239271623772694,96.64860534667969,0.36,0.0029463390170511535,0.0010606820461384152,2.625915962012389e-07,True
IEX,2020-10-14,0.0017215811752718595,175.10595703125,0.5,,,,False
ZTS,2020-10-20,0.009707594800889452,150.316650390625,0.2,,,,False
CL,2020-10-22,0.008140089647144496,69.22496795654297,0.44,0.0029949659083667876,0.0013177849996813865,1.5495692305416068e-07,True
PG,2020-10-22,0.04505301471134354,122.09894561767578,0.791,0.0021846370683579986,0.001728047921071177,6.376285070774254e-07,True
TXN,2020-10-29,0.016780827091526774,124.7298355102539,1.02,,,,False
PAYX,2020-10-30,0.0035332197473345616,69.07511901855469,0.62,0.021979967624443545,0.013627579927154998,6.970561208019123e-07,True
CLX,2020-11-03,0.002993246505091607,174.9867706298828,1.11,0.00029757476565987203,0.00033030798988245796,5.650102763543773e-09,True
